               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 131,             0.02015,           0.0094795,                   0,             0.96062,             0.87645,             0.93224,             0.69189,            0.030947,           0.0055173,                   0,            0.004852,            0.004852,            0.004852
                 132,            0.020161,            0.009696,                   0,             0.96542,             0.86826,             0.93339,             0.69031,            0.031054,           0.0055151,                   0,           0.0048124,           0.0048124,           0.0048124
                 133,            0.020099,           0.0095961,                   0,             0.95973,             0.85329,             0.93547,             0.68477,            0.030998,           0.0054153,                   0,           0.0047728,           0.0047728,           0.0047728
                 134,            0.020103,           0.0097154,                   0,             0.95452,              0.8798,             0.93571,             0.69103,             0.03141,           0.0051869,                   0,           0.0047332,           0.0047332,           0.0047332
                 135,            0.019755,           0.0097058,                   0,             0.94473,             0.87008,             0.92975,             0.69099,            0.031069,           0.0052628,                   0,           0.0046936,           0.0046936,           0.0046936
                 136,            0.019566,           0.0096724,                   0,             0.95076,              0.8503,             0.93103,             0.68034,            0.030948,           0.0053503,                   0,            0.004654,            0.004654,            0.004654
                 137,            0.019785,            0.009276,                   0,             0.93042,             0.88074,              0.9299,             0.70478,             0.03056,           0.0056926,                   0,           0.0046144,           0.0046144,           0.0046144
                 138,             0.01975,           0.0094563,                   0,             0.95299,             0.84968,             0.92153,             0.69315,            0.030456,           0.0055481,                   0,           0.0045748,           0.0045748,           0.0045748
                 139,            0.019994,           0.0092981,                   0,             0.95753,             0.87755,             0.92771,              0.6848,            0.030897,           0.0058009,                   0,           0.0045352,           0.0045352,           0.0045352
                 140,            0.019937,           0.0096096,                   0,             0.94822,             0.87728,             0.92961,             0.69661,            0.030345,           0.0058201,                   0,           0.0044956,           0.0044956,           0.0044956
                 141,            0.019356,           0.0095471,                   0,             0.96529,             0.86826,             0.92982,             0.69971,            0.030226,           0.0057151,                   0,            0.004456,            0.004456,            0.004456
                 142,            0.019415,           0.0093832,                   0,             0.95347,             0.87725,             0.93151,             0.69735,            0.031599,           0.0056714,                   0,           0.0044164,           0.0044164,           0.0044164
                 143,            0.019521,           0.0096363,                   0,             0.96584,             0.86826,             0.92992,               0.691,            0.030751,           0.0056456,                   0,           0.0043768,           0.0043768,           0.0043768
                 144,             0.01938,           0.0092468,                   0,               0.937,             0.89055,             0.93925,             0.70196,            0.030575,           0.0054532,                   0,           0.0043372,           0.0043372,           0.0043372
                 145,            0.019318,           0.0092447,                   0,             0.94541,             0.88146,             0.92771,             0.69295,            0.031624,           0.0058279,                   0,           0.0042976,           0.0042976,           0.0042976
                 146,            0.019394,           0.0092538,                   0,             0.95354,             0.88323,             0.93548,             0.68812,            0.030986,           0.0054893,                   0,            0.004258,            0.004258,            0.004258
                 147,            0.019554,            0.009289,                   0,             0.94587,             0.88945,             0.94646,             0.70048,            0.030621,           0.0054339,                   0,           0.0042184,           0.0042184,           0.0042184
                 148,            0.019456,             0.00919,                   0,             0.94302,             0.87425,             0.94066,             0.69738,            0.030428,           0.0055793,                   0,           0.0041788,           0.0041788,           0.0041788
                 149,            0.019399,           0.0094142,                   0,             0.93813,             0.89521,             0.93507,             0.69127,            0.030302,           0.0053435,                   0,           0.0041392,           0.0041392,           0.0041392
                 150,            0.019172,           0.0092503,                   0,             0.93805,             0.87425,             0.92713,             0.69161,            0.030741,           0.0055064,                   0,           0.0040996,           0.0040996,           0.0040996
                 151,            0.018925,           0.0095738,                   0,             0.95564,             0.87725,             0.94209,             0.70644,            0.031048,           0.0055677,                   0,             0.00406,             0.00406,             0.00406
                 152,            0.018464,           0.0092352,                   0,             0.96694,              0.8757,             0.94239,             0.69489,            0.031268,           0.0055022,                   0,           0.0040204,           0.0040204,           0.0040204
                 153,            0.018749,           0.0094706,                   0,             0.93319,             0.87725,             0.93155,             0.70634,            0.031237,           0.0054635,                   0,           0.0039808,           0.0039808,           0.0039808
                 154,            0.018902,           0.0091351,                   0,             0.95906,             0.87126,             0.93708,             0.70075,            0.031558,           0.0055483,                   0,           0.0039412,           0.0039412,           0.0039412
                 155,            0.018998,           0.0092616,                   0,             0.92495,              0.8856,             0.93997,              0.7045,            0.031083,           0.0057766,                   0,           0.0039016,           0.0039016,           0.0039016
                 156,            0.018908,           0.0090923,                   0,             0.93679,             0.88747,             0.93915,             0.70033,            0.031588,           0.0057653,                   0,            0.003862,            0.003862,            0.003862
                 157,            0.018417,            0.009072,                   0,             0.91917,             0.89222,             0.93032,             0.70717,            0.031533,           0.0056702,                   0,           0.0038224,           0.0038224,           0.0038224
                 158,            0.018696,            0.009108,                   0,             0.95099,             0.88024,             0.93207,             0.69647,             0.03163,           0.0056243,                   0,           0.0037828,           0.0037828,           0.0037828
                 159,            0.018507,           0.0091627,                   0,             0.93469,              0.8998,             0.93123,             0.69149,            0.031218,           0.0056416,                   0,           0.0037432,           0.0037432,           0.0037432
                 160,            0.018751,           0.0093017,                   0,             0.94924,             0.87725,             0.93165,              0.6972,            0.031283,           0.0055135,                   0,           0.0037036,           0.0037036,           0.0037036
                 161,            0.018224,           0.0089873,                   0,             0.93146,             0.89516,             0.92972,             0.70526,            0.031515,           0.0057294,                   0,            0.003664,            0.003664,            0.003664
